X,y
2017.03,22.3464
2017.04,21.0242
2017.05,20.2235
2017.06,19.702
2017.07,18.3799
2017.1,19.2365
2017.15,20.3911
2017.22,19.3482
2017.29,18.324
2017.34,17.1881
2017.37,15.9218
2017.41,14.6741
2017.46,13.6313
2017.54,12.7561
2017.56,12.6071
2017.57,12.4767
2017.61,11.8622
2017.64,11.7691
2017.66,12.067
2017.7,12.6257
2017.71,12.7561
2017.74,13.0168
2017.8,13.1471
2017.84,12.8492
2017.89,12.6071
2017.95,12.8305
2017.96,12.8305
2017.99,13.0168
2018.04,13.2402
2018.06,13.0354
2018.09,14.1713
2018.1,14.2644
2018.13,15.419
2018.15,16.7598
2018.18,18.0819
2018.21,19.3482
2018.25,20.5773
2018.27,21.1546
2018.29,21.7877
2018.33,22.2533
2018.35,20.9311
2018.37,19.6089
2018.38,18.2868
2018.4,16.9646
2018.44,15.7169
2018.48,14.5065
2018.53,13.3333
2018.6,12.3091
2018.69,11.6574
