gadm_id,gadm_name,country,polygon_level,home_to_ping_distance_category,distance_category_ping_fraction,ds,_source_file
IDN.7.6_1,Kepulauan Seribu,IDN,2,100+,0.0025944825217827,2025-10-27,1922039342088483_2025-10-27.csv
IDN.7.1_1,Jakarta Barat,IDN,2,0,0.4065998363153917,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.1_1,Jakarta Barat,IDN,2,"(0, 10)",0.5520515564784158,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.1_1,Jakarta Barat,IDN,2,"[10, 100)",0.0380018093973971,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.1_1,Jakarta Barat,IDN,2,100+,0.0033500331936359,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,0,0.391365472153985,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,"(0, 10)",0.5554461657669159,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,"[10, 100)",0.0456559698329592,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.2_1,Jakarta Pusat,IDN,2,100+,0.0075343031633274,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,0,0.3974190746545549,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,"(0, 10)",0.5518141723053102,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,"[10, 100)",0.0465765157545358,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.3_1,Jakarta Selatan,IDN,2,100+,0.0041757316073241,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.4_1,Jakarta Timur,IDN,2,0,0.4034120073316284,2025-10-26,1922039342088483_2025-10-26.csv
IDN.7.4_1,Jakarta Timur,IDN,2,"(0, 10)",0.5396704038624545,2025-10-26,1922039342088483_2025-10-26.csv
